whiskyId,name,description,whiskyImg,whiskyLink,distillery,countryRegion,type,age,abv,bottler
6,Lagavulin   16 Years,"The classic Lagavulin is kilned with a high smoke content in the malt. The stills are pear-shaped, so that all flavors can be passed on to the condensers during distillation. The Single Malt then matures in Bourbon and Sherry casks to completion.The classic Lagavulin is kilned with a high smoke content in the malt. The stills are pear-shaped, so that all flavors can be passed on to the condensers during distillation. The Single Malt then matures in Bourbon and Sherry casks to completion.",https://www.whisky.com/fileadmin/_processed_/d/9/csm_0_c4c456_lagav1600_aw_7a3c1490b0.jpg,https://www.whisky.com/whisky-database/details/lagavulin.html,Lagavulin,"Scotland,Islay",Single Malt Whisky,16 Years,43%,Original bottling
23,Dalwhinnie   15 Years,"This bottling of Dalwhinnie is one of the most sold Classic Malts of Scotland. The aroma of the Single Malts shows nuances of heather and peat smoke. The subtle, fruity-sweet taste goes over to an elegant and long finish.This bottling of Dalwhinnie is one of the most sold Classic Malts of Scotland. The aroma of the Single Malts shows nuances of heather and peat smoke. The subtle, fruity-sweet taste goes over to an elegant and long finish.",https://www.whisky.com/fileadmin/_processed_/2/7/csm_0_b8a7b4_dalwh1500_aw_b47bc85a0f.jpg,https://www.whisky.com/whisky-database/details/dalwhinnie.html,Dalwhinnie,"Scotland,Highlands",Single Malt Whisky,15 Years,43%,Original bottling
64,Four Roses       Yellow label,"A very popular and affordable Kentucky Straight Bourbon Whiskey. Legend has it that Four Roses got its name from the founder, Paul Jones, who proposed to a Southern belle who accepted his proposal by wearing four roses on her dress at a ball.A very popular and affordable Kentucky Straight Bourbon Whiskey. Legend has it that Four Roses got its name from the founder, Paul Jones, who proposed to a Southern belle who accepted his proposal by wearing four roses on her dress at a ball.",https://www.whisky.com/fileadmin/web_data/tx_datamintsflaschendb/flaschen/x0_ebcc0a_four_roses_gr.jpg.pagespeed.ic.spVwFpG3Xv.jpg,https://www.whisky.com/whisky-database/details/four-roses.html,Four Roses,"USA,Kentucky",Kentucky Straight Bourbon,,40%,Original bottling
90,Glenmorangie   10 Years     The Original,The Glenmorangie 10 years old is the most popular Single Malt Whisky in Scotland itself. Only first-fill and second-fill ex-Bourbon casks are used for this Highland Malt.The Glenmorangie 10 years old is the most popular Single Malt Whisky in Scotland itself. Only first-fill and second-fill ex-Bourbon casks are used for this Highland Malt.,https://www.whisky.com/fileadmin/_processed_/a/b/csm_0_2e9427_gmora1000_aw_a60de5eb03.jpg,https://www.whisky.com/whisky-database/details/glenmorangie-the-original.html,Glenmorangie,"Scotland,Highlands",Single Malt Whisky,10 Years,40%,Original bottling
97,Highland Park   12 Years,,https://www.whisky.com/fileadmin/_processed_/3/9/csm_0_e0f279_highl1200_aw_0817f66b47.jpg,https://www.whisky.com/whisky-database/details/highland-park.html,Highland Park,"Scotland,Islands",Single Malt Whisky,12 Years,40%,Original bottling
110,Laphroaig   10 Years,This famous Malt has an extremely smoky flavor with a hint of seaweed and other marine flavours. It is one of the most intense Islay malts. You hate it or you love it.This famous Malt has an extremely smoky flavor with a hint of seaweed and other marine flavours. It is one of the most intense Islay malts. You hate it or you love it.,https://www.whisky.com/fileadmin/_processed_/a/b/csm_0_de2d76_laphr1040_aw_a7215eefb1.jpg,https://www.whisky.com/whisky-database/details/laphroaig-1.html,Laphroaig,"Scotland,Islay",Single Malt Whisky,10 Years,40%,Original bottling
172,Lagavulin     - 1991,"This is the Distillers Edition of Lagavulin. It has been finished in Spanish Pedro Ximenez Sherry casks, which adds a lot of sweetness and depth to the classic Lagavulin flavours, making it the favourite Whisky of many a malthead.This is the Distillers Edition of Lagavulin. It has been finished in Spanish Pedro Ximenez Sherry casks, which adds a lot of sweetness and depth to the classic Lagavulin flavours, making it the favourite Whisky of many a malthead.",https://www.whisky.com/fileadmin/_processed_/e/f/csm_0_cc76d2_lagavde91a_w_a83ae320b4.jpg,https://www.whisky.com/whisky-database/details/lagavulin-distillers-edition-1.html,Lagavulin,"Scotland,Islay",Single Malt Whisky,,43%,Original bottling
248,Ardbeg   10 Years     TEN,"Ardbeg TEN stands for a very intense, peated Whisky that you can enjoy regularly. Its taste is full and intense like the Isle of Islay itself. While tasting you always have this smoky note lingering over everything. A very nice non chill filtered whisky indeed.Ardbeg TEN stands for a very intense, peated Whisky that you can enjoy regularly. Its taste is full and intense like the Isle of Islay itself. While tasting you always have this smoky note lingering over everything. A very nice non chill filtered whisky indeed.",https://www.whisky.com/fileadmin/_processed_/0/7/csm_0_b65784_ardbe1000_aw_7969bb0422.jpg,https://www.whisky.com/whisky-database/details/ardbeg-ten.html,Ardbeg,"Scotland,Islay",Single Malt Whisky,10 Years,46%,Original bottling
277,Glenfarclas     - 1994   Family Reserve,,https://www.whisky.com/fileadmin/_processed_/8/2/xcsm_0_3bbcef_gfarc9400_2_d8f79e5b3f.jpg.pagespeed.ic.HUn5L53IHi.jpg,https://www.whisky.com/whisky-database/details/glenfarclas-family-reserve-4.html,Glenfarclas,"Scotland,Speyside",Single Malt Whisky,,46%,Original bottling
333,Glenfarclas     - 1995   Family Reserve,,https://www.whisky.com/fileadmin/_processed_/b/7/csm_0_66d34f_gfarc9500_2_e18b9481fb.jpg,https://www.whisky.com/whisky-database/details/glenfarclas-family-reserve-5.html,Glenfarclas,"Scotland,Speyside",Single Malt Whisky,,46%,Original bottling
